epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.957,0.97489,2.18235,1.14586,0.01388,0.91403,0.5016,0.36872,0.71834,3.12823,1.16577,0.00037154,0.00037154,0.00037154
2,488.352,0.94368,1.1924,1.0849,0.84933,0.5502,0.81755,0.54512,0.91004,2.5187,1.41919,0.00071988,0.00071988,0.00071988
3,812.943,0.97461,1.09515,1.12953,0.41303,0.4374,0.49736,0.34635,0.94232,2.82635,1.47693,0.00103002,0.00103002,0.00103002
4,1038.56,0.99083,1.20412,1.13648,0.80931,0.80197,0.89665,0.63216,0.827,1.98394,1.28131,0.00121679,0.00121679,0.00121679
5,1200.93,0.97767,1.01877,1.13289,0.75439,0.81142,0.81815,0.63229,0.74061,2.16916,1.20162,0.00114606,0.00114606,0.00114606
6,1363.03,0.92501,0.9348,1.10728,0.94518,0.94068,0.98326,0.71715,0.78898,1.16892,1.24316,0.00107532,0.00107532,0.00107532
7,2252.38,0.92843,0.89381,1.11097,0.88469,0.93065,0.95836,0.72093,0.78003,1.15872,1.25657,0.00100459,0.00100459,0.00100459
8,2583.01,0.93289,0.86926,1.09329,0.88415,0.94397,0.96829,0.73443,0.76718,1.0599,1.2644,0.000933851,0.000933851,0.000933851
9,2798.16,0.90772,0.83903,1.10522,0.9251,0.9564,0.97359,0.74249,0.73411,1.04254,1.20649,0.000863116,0.000863116,0.000863116
10,2959.74,0.93027,0.84634,1.09161,0.8929,0.98032,0.98152,0.76135,0.69522,0.84828,1.13874,0.00079238,0.00079238,0.00079238
11,3143.38,0.84319,0.8553,1.07298,0.95787,0.85959,0.98252,0.75643,0.67553,0.92626,1.08694,0.000721645,0.000721645,0.000721645
12,3304.28,0.83508,0.83531,1.04435,0.95955,0.9741,0.98783,0.77053,0.67192,0.7821,1.11861,0.000650909,0.000650909,0.000650909
13,18388.8,0.80817,0.72611,1.03447,0.94685,0.96238,0.98636,0.77964,0.67503,0.79031,1.09364,0.000580174,0.000580174,0.000580174
14,18583,0.822,0.73461,1.05064,0.95214,0.98777,0.97886,0.78762,0.6651,0.74098,1.1032,0.000509438,0.000509438,0.000509438
15,18769.7,0.79759,0.67335,1.02567,0.95219,0.99375,0.99059,0.7925,0.67291,0.67864,1.12756,0.000438703,0.000438703,0.000438703
16,18955.8,0.78388,0.68398,1.02642,0.97203,0.95317,0.98783,0.79791,0.66159,0.71215,1.1142,0.000367967,0.000367967,0.000367967
17,19133,0.76657,0.66771,1.03481,0.97579,0.96976,0.9874,0.80314,0.6438,0.62902,1.07426,0.000297232,0.000297232,0.000297232
18,19364.8,0.75573,0.62544,1.00658,0.94602,0.98803,0.98943,0.80332,0.62026,0.60602,1.05344,0.000226497,0.000226497,0.000226497
19,19680,0.73435,0.60054,1.00403,0.96868,0.98871,0.99056,0.80109,0.60932,0.59195,1.03793,0.000155761,0.000155761,0.000155761
20,19976.3,0.7364,0.58966,1.00737,0.9721,0.98643,0.99124,0.81439,0.58739,0.57373,1.02304,8.50255e-05,8.50255e-05,8.50255e-05
